class1,class2,class3,faction,section,subsection,depth,rule
,advance-rule,,,GAME TURN (MAX 10 TURNS),2. SPICE BLOW,2,**(Advanced)** The same rules except there will be two discard piles (Pile A and Pile B). Treat each pile independently.
,,,,GAME TURN (MAX 10 TURNS),3. CHOAM CHARITY,1,"Players with 0 or 1 Spice can collect Spice to bring their total to 2 Spice by calling out ""CHOAM Charity""."
,,,,GAME TURN (MAX 10 TURNS),4. BIDDING,1,"(Default rule): Players must announce how many cards they hold. Same # of Treachery Cards as # players holding less than max hand. (4 default, 5 for CHOAM, 8 for HARKONNEN)."
,atreides-rule,,atreides,GAME TURN (MAX 10 TURNS),4. BIDDING,1,ATREIDES may look at each card as it is offered for auction.
,,,,GAME TURN (MAX 10 TURNS),4. BIDDING,1,Players take turns to initiate bidding (starting with First Player and then to the right of previous first bidder).
,emperor-rule,,emperor,GAME TURN (MAX 10 TURNS),4. BIDDING,1,Min bid 1 Spice. Pay to EMPEROR. EMPEROR always pays to Bank.
,no-emperor-rule,,,GAME TURN (MAX 10 TURNS),4. BIDDING,1,Min bid 1 Spice. Pay to the Bank.
,,,,GAME TURN (MAX 10 TURNS),4. BIDDING,1,"Auction until all cards claimed, or 1 card unwanted (remaining cards return to top of deck)."
,harkonnen-rule,,harkonnen,GAME TURN (MAX 10 TURNS),4. BIDDING,1,HARKONNEN may take an additional Treachery Card from the deck for each one they win at auction.
alliances,no-emperor-rule,,,GAME TURN (MAX 10 TURNS),4. BIDDING,1,"**Alliances:** A player may pay for part or all of the cost of a treachery card purchased by an ally. They may pay up to, but not more than, the amount of spice equal to the card's purchase price. The player gives this spice directly the bank. As a bidder you cannot bid more than the total of the spice you have plus the spice that your ally is willing to give to you to help pay for the card."
alliances,emperor-rule,,emperor,GAME TURN (MAX 10 TURNS),4. BIDDING,1,"**Alliances:** A player may pay for part or all of the cost of a treachery card purchased by an ally. They may pay up to, but not more than, the amount of spice equal to the card's purchase price. The player gives this spice directly to the EMPEROR. If the EMPEROR is the player aiding the ally, however, the spice goes to the ally and is then paid back to the EMPEROR. As a bidder you cannot bid more than the total of the spice you have plus the spice that your ally is willing to give to you to help pay for the card."
,,,,GAME TURN (MAX 10 TURNS),5. REVIVAL,1,"Players may revive up to 3 troops to their reserve, paying 2 Spice / troop after free revivals limits."
,,,,GAME TURN (MAX 10 TURNS),5. REVIVAL,1,Players may revive 1 leader per turn once all their leaders have been sent to tanks
,,,,GAME TURN (MAX 10 TURNS),5. REVIVAL,2,Must pay the leader's combat value in spice
,,,,GAME TURN (MAX 10 TURNS),5. REVIVAL,2,Revived leaders may not be revived again until all leaders for that player have been revived and sent back to the tanks.
,atreides-rule,,atreides,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,ATREIDES may look at the top card of the Spice Deck before any player acts in this phase.
,,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,"*No Shipment/Movement:* from / through / into sector in Storm, territory with ally, Stronghold with forces of 2 other factions."
,fremen-rule,,fremen,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,"*During Shipment only*, FREMEN may bring their reserves into the storm (losing half)."
,,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,0,***Shipment***
,spacing-rule,,spacing,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,SPACING GUILD may choose to make your shipment and movement at any time they choose in this phase. Pay shipping costs to the Spice Bank.
,spacing-rule,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,"Add forces from reserves to any 1 territory. 1 Spice per force into Stronghold, 2 Spice per force into other territory. Pay to SPACING GUILD (SPACING GUILD pays to the Bank)."
,no-spacing-rule,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,"Add forces from reserves on any 1 territory. 1 Spice per force into Stronghold, 2 Spice per force into other territory. Pay to the Bank."
,bene-rule,,bene,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,"Anytime a player ships from off-planet, BENE GESSERIT may ship 1 advisor for free to the same territory (including Mobile Stronghold) or to the Polar Sink."
,fremen-rule,,fremen,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,FREMEN may bring any or all of their reserves for free onto or within two territories of the Great Flat.
,fremen-advance-rule,,fremen,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,**(Advanced)** FREMEN allowed to move through/ship in Storm at half loss.
,,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,2,Be clear into which sector you ship or move.
,,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,0,***Movement***
,,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,Move any number of forces from any 1 territory to adjacent territory. Move up to 3 territories if you have presence in Arrakeen or Carthag. (sectors don't count for movement distance)
,,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,2,You may move the same forces you shipped.
,fremen-rule,,fremen,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,2,FREMEN forces may move two territories on foot.
,,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,2,Moving to a diferent sector within same territory counts as a movement action.
,spacing-rule,,spacing,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,SPACING GUILD may make one of three types of shipment and then one movement: [1] Ship from home planet to Dune. [2] Ship from one territory to another. [3] Ship from Dune to home planet.
alliances,no-spacing-rule,,,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,"**Alliances:** A player may pay for part or all of the cost of an ally's shipment. They may pay up to, but not more than, the amount of spice equal to the shipment's cost. The player gives this spice directly to the bank."
alliances,spacing-rule,,spacing,GAME TURN (MAX 10 TURNS),6. SHIPMENT &amp; MOVEMENT,1,"**Alliances:** A player may pay for part or all of the cost of an ally's shipment. They may pay up to, but not more than, the amount of spice equal to the shipment's cost. The player gives this spice directly to the SPACING GUILD. Any spice that the SPACING GUILD is paying for the shipment goes to the Spice Bank."
,,,,GAME TURN (MAX 10 TURNS),7. BATTLE,1,"Happens in all territories with 2+ factions, except if separated by Storm, or at Polar Sink."
,,,,GAME TURN (MAX 10 TURNS),7. BATTLE,1,First Player is aggressor and must resolve ALL their battles. Then the aggressor passes to the right and so on. Aggressor wins ties.
,,,,GAME TURN (MAX 10 TURNS),7. BATTLE,1,"Combatants secretly dial a number from 0 to total strength of Forces in territory, and leader/cheap hero (mandatory unless none available, must announce if so), and optionally 1 weapon and/or 1 defense treachery card if leader/cheap hero present. (Useless card replaces a weapon/defense card). Weapon kills leader unprotected by defense. Killed leaders don't count in battle."
,basic-rule,,,GAME TURN (MAX 10 TURNS),7. BATTLE,1,(Basic) Forces have 1 combat strength per token.
,advance-rule,,,GAME TURN (MAX 10 TURNS),7. BATTLE,1,"**(Advanced)** Forces have 0.5 combat strength per token (Emperor Sardaukar is 1) unless fed 1 spice per Force, then they are worth 1 strength (Sardaukar is 2)"
,fremen-rule,,fremen,GAME TURN (MAX 10 TURNS),7. BATTLE,1,FREMEN forces fight at full strength without paying spice. FREMEN Fedaykin commandos are worth two normal forces in battle and when taking losses.
,bene-rule,,bene,GAME TURN (MAX 10 TURNS),7. BATTLE,1,BENE GESSERIT may Voice opponents to play or not play cards.
,atreides-rule,,atreides,GAME TURN (MAX 10 TURNS),7. BATTLE,1,"ATREIDES may force their opponent to reveal either their dial value, leader, weapon card, or defence card."
,harkonnen-rule,,harkonnen,GAME TURN (MAX 10 TURNS),7. BATTLE,1,"HARKONNEN may capture a random leader from their oppenent if HARKONNEN win the battle. They may either (a) immediately kill the leader and receive 2 spice or (b) keep the leader to use in battle, but then return that leader to their faction once used."
,,,,GAME TURN (MAX 10 TURNS),8. SPICE HARVEST,1,Collect spice from territories.
,,,,GAME TURN (MAX 10 TURNS),8. SPICE HARVEST,2,"2 Spice per Forces in sector of territory, or 3 Spice per Forces if player controls Arrakeen or Carthag. (3 Spice per IXIAN Cyborg)"
,advance,,,GAME TURN (MAX 10 TURNS),8. SPICE HARVEST,2,"**(Advanced)** In addition, 2 Spice each for who occupies Arrakeen/Carthag and 1 Spice for Tuek's Sietch."
,,,,GAME TURN (MAX 10 TURNS),9. MENTAT PAUSE PHASE,1,Players gather the Spice they received as bribes (from in front of their shields).
,,,,GAME TURN (MAX 10 TURNS),9. MENTAT PAUSE PHASE,1,"If players in an alliance have forces in 4 strongholds, they win the game."
,,,,GAME TURN (MAX 10 TURNS),9. MENTAT PAUSE PHASE,1,"If a player not in an alliance has forces in 3 strongholds, they win the game."
,fremen-rule,,fremen,GAME TURN (MAX 10 TURNS),9. MENTAT PAUSE PHASE,1,"FREMEN win if: 1) FREMEN or no faction occupies Sietch Tabr and Habbanya Sietch, and 2) None of the great houses (Harkonnen, Atreides, Richese, or the Emperor) occupies Tuek's Sietch."
,spacing-rule,,spacing,GAME TURN (MAX 10 TURNS),9. MENTAT PAUSE PHASE,1,SPACING GUILD win if no other faction has won the game by the end
,,,,NEXUS,9. MENTAT PAUSE PHASE,1,Players may form and break alliances during Nexus phase.
,,,,BRIBES AND DEALS,9. MENTAT PAUSE PHASE,1,Players may negotiate and exchange spice or favors at any time unless prohibited.
